category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
א,1,ריח תפוח אודם שני (שובי ציפורת),נחום היימן,גיל אלדמע,יום טהר-לב,,עיברית,SSA,FALSE,None,,TRUE,FALSE,https://youtu.be/4DMaTXz2fZU?si=JKFFX1Kz8bqoou0C,
א,2,מנהג חדש,נעמי שמר,ש. ארד,חיים נחמן ביאלית,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,3,מקום שם ארזים,אנונימי,יצחק אדל,אנונימי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,4,קצת לפני החורף (ריח קלמנטינות),חיים ברקני,פנינה ענבר,י. גמזו,,עיברית,SSA,FALSE,Optional,כלי הרמוני,TRUE,FALSE,,
א,5,ביתי אל מול גולן,חיים ברקני,,י. נצר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,6,אם אשכחך (ציון תמתי),אנונימי,דב כרמל,אנונימי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,7,פירות חמישה עשר,נעמי שמר,גיל אלדמע,נעמי שמר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,8,לך למדבר,סשה ארגוב,גיל אלדמע,חיים חפר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,9,,,,,,,,,,,,,,
א,10,הבו לנו יין,מתתיהו שלם,גיל אלדמע,מתתיהו שלם,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,11,חלום / תחת זיו כוכבי שמיים,ניסים נסימוב,,יצחק קצנלסון,,עיברית,SA,FALSE,None,,TRUE,FALSE,,
א,12,אלעד ירד מהירדן,אברהם זיגמן,דניאל סמבורסקי,אברהם זיגמן,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,13,אילו ציפורים,Jean-Pierre Calvet,ג. דיאמנט,Jean Broussolle,נעמי שמר,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,14,כנרת (שם הרי גולן),נעמי שמר,יקותיאל שער,נעמי שמר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,15,עוד אזכור,גילה גלבוע,,נתן יונתן,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,16,שושנה,אנונימי,א. צונזר,חיים חפר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,17,מקהלה עליזה,נוריתת הירש,גיל אלדמע,לאה נאור,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,18,מחול הנערה,י. שגיא,מאיר מינדל,מ. גליל,,עיברית,SA,FALSE,None,,TRUE,FALSE,,
א,19,שיעור מולדת,אפרים שמיר,גיל אלדמע,עלי מוהר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,20,,,,,,,,,,,,,,
א,21,אומרים ישנה  ארץ,נעמי שמר,גיל אלדמע,שאול טשרניחובסקי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,22,אני לדודי,עזרא גבאי,גיל אלדמע,שיר השירים,,עיברית,SA,FALSE,None,,TRUE,FALSE,,
א,23,שיר המעלות,מיכאל דוד לוי,,"תהילים קכ""ו",,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,24,סוסים,יואל אנגל,יחזקאל בראון,יחיאל הלפרין,,עיברית,SSA,FALSE,TRUE,"חלילית סופרן, חלילית אלט, משולש, מצלתיים, תיבת עץ",TRUE,FALSE,,
א,25,שבת (חופי ירדן מלא זהר יום),יקותיאל שור,,רחל,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,26,מה אומרות עיניך,מרדכי זעירא,יהודית חן,יצחק שנהר,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,27,ציפור הדרור,חיים אלכסנדר,,רינה ליטוין,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,28,מה לעשות,חיים אלכסנדר,,זאב,,עיברית,SSA + Solo,FALSE,None,,TRUE,TRUE,,
א,29,דחליל מסכן,חיים אלכסנדר,,אברהם ברוידס,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,30,שלכת,ינון נאמן,ר. כוכבי,א.בקר,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,31,אשרי אדם,פאול בן חיים,,משלי ג',,עיברית,SA,FALSE,TRUE,כלי,TRUE,FALSE,,
א,32,יוסי ילד שלי מוצלח,סשה ארגוב,גיל אלדמע,ע. הלל,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,33,איך המציאו את הטוש,משה רסיוק,,אפרים סידון,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,34,כאלה חיים שעשיתי ,גילה גלבוע,,יהודה אטלס,,עיברית,SSA,FALSE,None,,TRUE,TRUE,,
א,35,מוכרת פרחים קטנה,"אהרון חרל""פ",,נתן יונתן,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,36,הד (זכור אזכור מעברים),מ. שתל,,רחל,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,37,אחד מרגבי השדה,חיים אהוביה,חיים ברקני,,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,38,החיטה צומחת שוב (ג. אלדמע),חיים ברקני,גיל אלדמע,דורית צמרת,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,39,נומי נומי,יואל אנגל,גיל אלדמע,יחיאל הלפרין,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,40,ויקום יונה,גילה גלבוע,,יונה ג',,עיברית,SSAA ,FALSE,None,,TRUE,TRUE,,
א,41,סובבוני,מרדכי זעירא,יצחק אדל,יעקב אורלנד,,עיברית,SSA ,FALSE,None,,TRUE,FALSE,,
א,42,שיר השירים (חד קולי),אנונימי,,שיר השירים א',,עיברית,Unison,FALSE,None,,TRUE,FALSE,,
א,43,שימי ידך,אנונימי,בוניה שור,אנונימי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,44,שלום עליכם (אלדמע),אנונימי,גיל אלדמע,מן התפילה,,עיברית,SAB,TRUE,None,,TRUE,FALSE,,
א,45,אלף מרכבות,אורה זיטנר,,נורית זרחי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,
א,46,שבת (תלם אחרון),נחום היימן,אורי גבעון,נתן יונתן,,עיברית,SAB,TRUE,None,,TRUE,FALSE,,
